Vivado Simulator 2020.2
Time resolution is 1 ps
time=   0, clock=0, Rx=xx, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000001
time= 340, clock=1, Rx=10, we=0, te=0, oe=0, wptr=2, tptr=0, min_state=001, tb_reg=000,A_in=2033ffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000100
time= 360, clock=0, Rx=10, we=0, te=0, oe=0, wptr=2, tptr=0, min_state=001, tb_reg=000,A_in=2033ffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000100
time= 380, clock=1, Rx=10, we=0, te=0, oe=0, wptr=2, tptr=0, min_state=001, tb_reg=000,A_in=2033ffff,P_in=00000000,plabels=00000000,Dx=0, ns=0001000
time= 400, clock=0, Rx=10, we=0, te=0, oe=0, wptr=2, tptr=0, min_state=001, tb_reg=000,A_in=2033ffff,P_in=00000000,plabels=00000000,Dx=0, ns=0001000
time= 420, clock=1, Rx=10, we=1, te=0, oe=0, wptr=3, tptr=0, min_state=011, tb_reg=001,A_in=33204435,P_in=00000000,plabels=00000000,Dx=1, ns=0000010
time= 440, clock=0, Rx=10, we=1, te=0, oe=0, wptr=3, tptr=0, min_state=011, tb_reg=001,A_in=33204435,P_in=00000000,plabels=00000000,Dx=1, ns=0000010
time= 460, clock=1, Rx=10, we=0, te=0, oe=0, wptr=3, tptr=0, min_state=011, tb_reg=001,A_in=33204435,P_in=00000000,plabels=00000000,Dx=1, ns=0000100
time= 480, clock=0, Rx=10, we=0, te=0, oe=0, wptr=3, tptr=0, min_state=011, tb_reg=001,A_in=33204435,P_in=00000000,plabels=00000000,Dx=1, ns=0000100
time= 500, clock=1, Rx=10, we=0, te=0, oe=0, wptr=3, tptr=0, min_state=011, tb_reg=001,A_in=33204435,P_in=00000000,plabels=00000000,Dx=1, ns=0001000
time= 520, clock=0, Rx=11, we=0, te=0, oe=0, wptr=3, tptr=0, min_state=011, tb_reg=001,A_in=33204435,P_in=00000000,plabels=00000000,Dx=1, ns=0001000
time= 540, clock=1, Rx=11, we=1, te=0, oe=0, wptr=4, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00000000,Dx=1, ns=0000010
time= 560, clock=0, Rx=11, we=1, te=0, oe=0, wptr=4, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00000000,Dx=1, ns=0000010
time= 580, clock=1, Rx=11, we=0, te=0, oe=0, wptr=4, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0000100
time= 600, clock=0, Rx=11, we=0, te=0, oe=0, wptr=4, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0000100
time= 620, clock=1, Rx=11, we=0, te=0, oe=0, wptr=4, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0001000
time= 640, clock=0, Rx=01, we=0, te=0, oe=0, wptr=4, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0001000
time= 660, clock=1, Rx=01, we=1, te=0, oe=0, wptr=5, tptr=0, min_state=101, tb_reg=110,A_in=34442033,P_in=10111111,plabels=00100000,Dx=0, ns=0000010
time= 680, clock=0, Rx=01, we=1, te=0, oe=0, wptr=5, tptr=0, min_state=101, tb_reg=110,A_in=34442033,P_in=10111111,plabels=00100000,Dx=0, ns=0000010
time= 700, clock=1, Rx=01, we=0, te=0, oe=0, wptr=5, tptr=0, min_state=101, tb_reg=110,A_in=34442033,P_in=10111111,plabels=10111111,Dx=0, ns=0000100
time= 720, clock=0, Rx=01, we=0, te=0, oe=0, wptr=5, tptr=0, min_state=101, tb_reg=110,A_in=34442033,P_in=10111111,plabels=10111111,Dx=0, ns=0000100
time= 740, clock=1, Rx=01, we=0, te=0, oe=0, wptr=5, tptr=0, min_state=101, tb_reg=110,A_in=34442033,P_in=10111111,plabels=10111111,Dx=0, ns=0001000
time= 760, clock=0, Rx=10, we=0, te=0, oe=0, wptr=5, tptr=0, min_state=101, tb_reg=110,A_in=34442033,P_in=10111111,plabels=10111111,Dx=0, ns=0001000
time= 780, clock=1, Rx=10, we=1, te=0, oe=0, wptr=6, tptr=0, min_state=011, tb_reg=101,A_in=33204434,P_in=11111110,plabels=10111111,Dx=1, ns=0000010
time= 800, clock=0, Rx=10, we=1, te=0, oe=0, wptr=6, tptr=0, min_state=011, tb_reg=101,A_in=33204434,P_in=11111110,plabels=10111111,Dx=1, ns=0000010
time= 820, clock=1, Rx=10, we=0, te=0, oe=0, wptr=6, tptr=0, min_state=011, tb_reg=101,A_in=33204434,P_in=11111110,plabels=11111110,Dx=1, ns=0000100
time= 840, clock=0, Rx=10, we=0, te=0, oe=0, wptr=6, tptr=0, min_state=011, tb_reg=101,A_in=33204434,P_in=11111110,plabels=11111110,Dx=1, ns=0000100
time= 860, clock=1, Rx=10, we=0, te=0, oe=0, wptr=6, tptr=0, min_state=011, tb_reg=101,A_in=33204434,P_in=11111110,plabels=11111110,Dx=1, ns=0001000
time= 880, clock=0, Rx=00, we=0, te=0, oe=0, wptr=6, tptr=0, min_state=011, tb_reg=101,A_in=33204434,P_in=11111110,plabels=11111110,Dx=1, ns=0001000
time= 900, clock=1, Rx=00, we=1, te=0, oe=0, wptr=7, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=11111110,Dx=1, ns=0000010
time= 920, clock=0, Rx=00, we=1, te=0, oe=0, wptr=7, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=11111110,Dx=1, ns=0000010
time= 940, clock=1, Rx=00, we=0, te=0, oe=0, wptr=7, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0000100
time= 960, clock=0, Rx=00, we=0, te=0, oe=0, wptr=7, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0000100
time= 980, clock=1, Rx=00, we=0, te=0, oe=0, wptr=7, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0001000
time=1000, clock=0, Rx=00, we=0, te=0, oe=0, wptr=7, tptr=0, min_state=110, tb_reg=011,A_in=44433302,P_in=00100000,plabels=00100000,Dx=1, ns=0001000
